证券代码,当前价,RSI(14),连跌天数,1月跌幅%,10日均振幅%,止跌放量,战法建议
511880,100.0838,5.23,0,-1.05,0,否,超卖反弹
508006,3.0809,11.29,0,-16.73,0,否,超卖反弹
515100,1.4377,17.53,0,-7.1,0,否,超卖反弹
511010,139.977,21.96,0,-0.47,0,否,超卖反弹
560150,1.1307,23.24,0,-1.64,0,否,超卖反弹
501300,0.9692,23.68,2,-0.64,0,否,超卖反弹
511060,106.2778,25.88,0,-0.42,0,否,超卖反弹
511260,134.094,27.13,0,-0.72,0,否,超卖反弹
563690,1.0136,27.36,0,-1.1,0,否,超卖反弹
512890,1.1637,27.38,0,-0.93,0,否,超卖反弹
560890,1.1958,27.65,0,-0.8,0,否,超卖反弹
159331,1.2766,28.03,0,-1.39,0,否,超卖反弹
159525,1.0828,28.57,0,-0.97,0,否,超卖反弹
159569,1.3443,28.64,0,-2.42,0,否,超卖反弹
563020,1.1819,28.78,0,-0.88,0,否,超卖反弹
513820,1.2165,30.43,0,-2.71,0,否,等待放量
511130,103.6922,33.73,0,-1.67,0,否,等待放量
159547,1.1958,33.89,0,-0.77,0,否,等待放量
501306,1.2155,34.15,0,-2.18,0,否,等待放量
520990,1.0045,34.62,1,-2.89,0,否,等待放量
501305,1.2567,34.66,0,-2.14,0,否,等待放量
513830,1.1622,34.77,0,-1.01,0,否,等待放量
159302,1.2799,34.84,0,-2.25,0,否,等待放量
159277,0.9586,34.84,0,-1.09,0,否,等待放量
