证券代码,当前价,RSI(14),连跌天数,1月跌幅%,10日均振幅%,止跌放量,战法建议
511880,100.1007,5.6,0,-1.05,0,否,超卖反弹
508006,3.0809,11.29,0,-16.73,0,否,超卖反弹
563690,0.9954,14.89,3,-2.28,0,否,超卖反弹
560890,1.1749,15.2,3,-2.2,0,否,超卖反弹
159525,1.0637,15.47,3,-2.18,0,否,超卖反弹
563020,1.1608,15.54,3,-2.17,0,否,超卖反弹
512890,1.1424,15.64,3,-2.29,0,否,超卖反弹
159547,1.1751,17.58,3,-1.8,0,否,超卖反弹
560150,1.1219,23.23,2,-1.24,0,否,超卖反弹
563700,1.027,24.33,3,-1.54,0,否,超卖反弹
515300,1.266,25.16,3,-2.18,0,否,超卖反弹
159577,1.4401,26.89,3,0.21,0,否,超卖反弹
513850,1.6065,27.08,3,0.29,0,否,超卖反弹
560520,1.1022,27.41,4,-1.76,0,否,超卖反弹
159228,1.0216,28.04,4,-1.72,0,否,超卖反弹
159549,1.1822,28.09,4,-1.72,0,否,超卖反弹
515100,1.4104,28.11,4,-8.44,0,否,超卖反弹
159307,1.0455,28.27,4,-1.66,0,否,超卖反弹
512700,1.5414,28.5,3,-2.92,0,否,超卖反弹
159253,0.94,28.64,3,-2.87,0,否,超卖反弹
512820,1.3818,28.77,3,-2.89,0,否,超卖反弹
515290,1.4132,28.8,3,-2.88,0,否,超卖反弹
512730,1.6152,28.8,3,-2.82,0,否,超卖反弹
512800,0.788,28.81,3,-2.85,0,否,超卖反弹
516210,1.3419,28.83,3,-2.81,0,否,超卖反弹
516310,1.3006,28.87,3,-2.86,0,否,超卖反弹
515020,1.6733,28.98,3,-2.81,0,否,超卖反弹
511130,103.6212,29.0,3,-1.19,0,否,超卖反弹
159887,1.2838,29.27,3,-2.85,0,否,超卖反弹
511010,140.221,29.35,0,-0.3,0,否,超卖反弹
511090,113.5344,30.35,0,-1.1,0,否,等待放量
159331,1.2706,30.74,1,-1.84,0,否,等待放量
563980,0.9495,31.15,3,-1.25,0,否,等待放量
159355,1.0233,31.26,3,-1.2,0,否,等待放量
501300,0.9686,31.85,1,-0.59,0,否,等待放量
513820,1.211,32.2,1,-1.94,0,否,等待放量
512750,1.4634,32.2,3,-1.91,0,否,等待放量
501085,2.3058,32.54,1,-0.93,0,否,等待放量
561680,0.9848,32.6,3,-1.12,0,否,等待放量
159296,0.9857,32.66,3,-1.1,0,否,等待放量
563590,0.9707,32.72,3,-1.09,0,否,等待放量
512530,1.5521,33.05,3,-1.1,0,否,等待放量
563510,0.9754,33.06,3,-1.07,0,否,等待放量
159672,0.7367,33.44,4,-2.86,0,否,等待放量
515650,1.165,33.53,4,-2.62,0,否,等待放量
159689,0.7397,33.58,4,-2.88,0,否,等待放量
159798,0.9375,33.68,4,-2.55,0,否,等待放量
159928,0.781,33.71,4,-2.85,0,否,等待放量
512600,0.665,33.78,4,-2.82,0,否,等待放量
560680,0.8548,33.95,4,-2.73,0,否,等待放量
520580,1.025,34.13,1,-0.38,0,否,等待放量
517900,1.4542,34.19,3,-1.78,0,否,等待放量
511260,134.424,34.48,0,-0.43,0,否,等待放量
510230,1.3713,34.71,3,-2.36,0,否,等待放量
159391,1.1172,34.72,3,-1.52,0,否,等待放量
510650,2.9863,34.81,3,-2.34,0,否,等待放量
516900,0.5765,34.93,4,-2.5,0,否,等待放量
501306,1.2097,34.97,1,-1.49,0,否,等待放量
