证券代码,当前价,RSI(14),连跌天数,1月跌幅%,10日均振幅%,止跌放量,战法建议
511880,100.0893,5.21,0,-1.05,0,否,超卖反弹
508006,3.0809,11.29,0,-16.73,0,否,超卖反弹
511010,140.073,22.68,0,-0.34,0,否,超卖反弹
520580,1.0197,23.29,1,-1.59,0,否,超卖反弹
563690,1.006,25.73,1,-1.59,0,否,超卖反弹
512890,1.1549,25.86,1,-1.65,0,否,超卖反弹
560890,1.1871,25.95,1,-1.54,0,否,超卖反弹
501300,0.9687,26.21,4,-0.41,0,否,超卖反弹
159525,1.0747,26.45,1,-1.51,0,否,超卖反弹
563020,1.1731,26.58,1,-1.49,0,否,超卖反弹
560150,1.1244,26.96,1,-1.46,0,否,超卖反弹
159547,1.187,28.64,1,-1.23,0,否,超卖反弹
511260,134.277,29.46,0,-0.39,0,否,超卖反弹
511130,103.6599,29.89,1,-0.48,0,否,超卖反弹
511090,113.5389,31.13,1,-0.35,0,否,等待放量
511060,106.4059,32.66,0,-0.26,0,否,等待放量
501085,2.2982,32.71,0,1.53,0,否,等待放量
159331,1.2828,33.42,0,-1.62,0,否,等待放量
512700,1.5692,33.66,1,-1.58,0,否,等待放量
159253,0.9567,33.79,1,-1.54,0,否,等待放量
512800,0.802,33.93,1,-1.53,0,否,等待放量
512820,1.4067,33.97,1,-1.55,0,否,等待放量
515290,1.4387,33.99,1,-1.53,0,否,等待放量
512730,1.6437,34.0,1,-1.51,0,否,等待放量
516210,1.3655,34.01,1,-1.5,0,否,等待放量
516310,1.324,34.08,1,-1.52,0,否,等待放量
515020,1.7032,34.19,1,-1.49,0,否,等待放量
515300,1.283,34.44,1,-1.02,0,否,等待放量
159887,1.3072,34.5,1,-1.48,0,否,等待放量
513820,1.2224,34.53,0,-2.14,0,否,等待放量
