证券代码,当前价,RSI(14),连跌天数,1月跌幅%,10日均振幅%,止跌放量,战法建议
511880,100.0866,5.22,0,-1.05,0,否,超卖反弹
508006,3.0809,11.29,0,-16.73,0,否,超卖反弹
515100,1.4358,18.11,1,-7.0,0,否,超卖反弹
511010,139.985,23.01,0,-0.42,0,否,超卖反弹
501300,0.9688,25.96,3,-0.56,0,否,超卖反弹
511060,106.3447,30.58,0,-0.34,0,否,等待放量
511260,134.191,31.33,0,-0.55,0,否,等待放量
159331,1.2813,33.42,0,-1.07,0,否,等待放量
159245,0.9461,33.75,1,-1.41,0,否,等待放量
159268,0.9355,33.76,1,-1.39,0,否,等待放量
159285,0.9315,33.76,1,-1.39,0,否,等待放量
159265,0.9658,33.8,1,-1.41,0,否,等待放量
501085,2.277,34.22,2,-1.03,0,否,等待放量
513820,1.221,34.53,0,-2.86,0,否,等待放量
159569,1.3509,34.56,0,-2.29,0,否,等待放量
