,code,name1,name2,type,name3
0,000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE
1,000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE
2,000003,ZHKZZZQA,中海可转债债券A,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANA
3,000004,ZHKZZZQC,中海可转债债券C,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANC
4,000005,JSZQXYDQZQ,嘉实增强信用定期债券,债券型-混合一级,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
5,000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA
6,000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,指数型-股票,JIASHIZHONGZHENG500ETFLIANJIEA
7,000009,YFDTTLCHBA,易方达天天理财货币A,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIA
8,000010,YFDTTLCHBB,易方达天天理财货币B,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIB
9,000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
10,000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
11,000013,YFDTTLCHBR,易方达天天理财货币R,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIR
12,000014,HXJLZQA,华夏聚利债券A,债券型-混合一级,HUAXIAJULIZHAIQUANA
13,000015,HXCZZQA,华夏纯债债券A,债券型-长债,HUAXIACHUNZHAIZHAIQUANA
14,000016,HXCZZQC,华夏纯债债券C,债券型-长债,HUAXIACHUNZHAIZHAIQUANC
15,000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE
16,000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA
17,000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE
18,000024,DMSLZQZQA,大摩双利增强债券A,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANA
19,000025,DMSLZQZQC,大摩双利增强债券C,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANC
20,000028,HFAXZQA,华富安鑫债券A,债券型-混合二级,HUAFUANXINZHAIQUANA
21,000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
22,000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA
23,000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA
24,000032,YFDXYZZQA,易方达信用债债券A,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANA
25,000033,YFDXYZZQC,易方达信用债债券C,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANC
26,000037,GFJNZQA,广发景宁债券A,债券型-长债,GUANGFAJINGNINGZHAIQUANA
27,000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE
28,000041,HXQQGPQDIIRMB,华夏全球股票(QDII)(人民币),QDII-普通股票,HUAXIAQUANQIUGUPIAOQDIIRENMINBI
29,000042,CTZZESG100ZSZQA,财通中证ESG100指数增强A,指数型-股票,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA
30,000043,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
