排序	编码		名称		类型		索提诺比率	夏普比率	MA趋势		增长率	净增长	最大回撤	2020-11-03	2025-11-04
1	018994	N/A		C类		2.7442		1.6808		↑			189.74%		1.8974	22.23%		1.0000		2.8974
2	019514	N/A		C类		2.5574		1.5317		↑			104.82%		1.3406	16.05%		1.2790		2.6196
3	021500	N/A		C类		2.4499		1.5136		↑			112.23%		1.404	30.77%		1.2510		2.6550
4	014662	N/A		C类		2.0861		1.4243		↑			104.05%		1.0405	10.74%		1.0000		2.0405
5	018957	N/A		C类		2.0816		1.2582		↑			197.01%		1.9701	32.44%		1.0000		2.9701
6	017437	N/A		C类		1.9468		1.2982		↑			129.31%		1.2931	29.91%		1.0000		2.2931
7	021031	N/A		C类		1.8678		1.2909		↓			86.36%		0.8636	19.32%		1.0000		1.8636
8	012922	N/A		C类		1.824		1.2537		↑			145.92%		1.4592	20.22%		1.0000		2.4592
9	020662	N/A		C类		1.7265		1.1083		↑			90.37%		0.9037	31.19%		1.0000		1.9037
10	001407	N/A		C类		1.6192		0.9866		↑			195.22%		2.614	26.1%		1.3390		3.9530
11	020635	N/A		C类		1.6062		1.1099		↓			72.59%		0.7259	18.59%		1.0000		1.7259
12	009034	N/A		C类		1.5389		1.0698		↑			113.08%		1.1223	11.72%		0.9925		2.1148
13	007509	N/A		C类		1.5083		0.968		↑			201.19%		3.034	27.32%		1.5080		4.5420
14	009478	N/A		C类		1.4783		1.0264		↑			103.68%		1.0376	10.92%		1.0008		2.0384
15	014728	N/A		C类		1.4539		0.9174		↑			125.31%		1.2531	39.55%		1.0000		2.2531
16	008987	N/A		C类		1.4133		0.9869		↑			102.61%		0.9774	12.6%		0.9525		1.9299
17	019548	N/A		C类		1.4078		0.9461		↑			44.04%		0.4404	21.85%		1.0000		1.4404
18	009505	N/A		C类		1.405		0.9826		↑			101.69%		0.9679	12.5%		0.9518		1.9197
19	015751	N/A		C类		1.4048		0.9171		↑			120.43%		0.9194	30.39%		0.7634		1.6828
20	020398	N/A		C类		1.3517		0.9294		↓			71.95%		0.7195	24.77%		1.0000		1.7195
21	002170	N/A		C类		1.3421		0.8735		↑			275.87%		4.1792	39.57%		1.5149		5.6941
22	009708	N/A		C类		1.3065		0.812		↑			163.79%		1.6887	40.54%		1.0310		2.7197
23	015389	N/A		C类		1.2964		0.8559		↑			154.7%		1.3462	30.72%		0.8702		2.2164
24	015290	N/A		C类		1.2535		0.8655		↓			71.74%		0.7174	28.85%		1.0000		1.7174
25	015690	N/A		C类		1.1903		0.7866		↑			88.67%		2.245	38.69%		2.5320		4.7770
26	016049	N/A		C类		1.1773		0.8179		↑			72.94%		0.8507	27.31%		1.1663		2.0170
27	015686	N/A		C类		1.1078		0.7113		↑			105.45%		1.857	51.96%		1.7610		3.6180
28	015152	N/A		C类		1.09		0.7016		↑			109.39%		0.8609	39.24%		0.7870		1.6479
29	002112	N/A		C类		1.08		0.6699		↑			148.32%		2.0309	34.25%		1.3693		3.4002
30	008187	N/A		C类		1.0265		0.7089		↑			121.26%		1.7995	31.5%		1.4840		3.2835
31	015857	N/A		C类		0.9935		0.6628		↑			58.65%		0.5865	30.45%		1.0000		1.5865
32	010827	N/A		C类		0.992		0.6998		↑			104.08%		1.0408	31.48%		1.0000		2.0408
33	014855	N/A		C类		0.9891		0.6161		↑			87.14%		0.8714	46.34%		1.0000		1.8714
34	007950	N/A		C类		0.9763		0.7119		↑			114.6%		1.8093	26.16%		1.5788		3.3881
35	003305	N/A		C类		0.9751		0.6456		↑			133.11%		2.593	38.63%		1.9480		4.5410
36	015683	N/A		C类		0.9662		0.6401		↑			70.79%		0.9233	32.27%		1.3042		2.2275
37	007818	N/A		C类		0.9558		0.63		↑			136.12%		1.4517	35.95%		1.0665		2.5182
38	011892	N/A		C类		0.932		0.6032		↑			93.58%		0.9358	40.96%		1.0000		1.9358
39	014377	N/A		C类		0.9285		0.6185		↑			81.84%		0.8184	37.79%		1.0000		1.8184
40	017811	N/A		C类		0.9282		0.5609		↑			58.51%		0.5408	47.52%		0.9243		1.4651
41	015642	N/A		C类		0.9246		0.6049		↑			71.82%		0.7182	41.97%		1.0000		1.7182
42	008327	N/A		C类		0.9106		0.6023		↑			126.23%		1.3242	38.25%		1.0490		2.3732
43	001770	N/A		C类		0.9001		0.586		↑			75.78%		1.026	26.79%		1.3540		2.3800
44	001301	N/A		C类		0.8999		0.627		↑			102.54%		1.291	38.9%		1.2590		2.5500
45	015971	N/A		C类		0.8924		0.6028		↑			49.21%		0.4921	26.37%		1.0000		1.4921
46	015968	N/A		C类		0.8833		0.5474		↑			61.71%		0.6171	45.2%		1.0000		1.6171
47	004815	N/A		C类		0.8783		0.6281		↑			82.9%		1.0726	22.02%		1.2938		2.3664
48	015144	N/A		C类		0.8641		0.5742		↑			74.98%		0.7498	45.76%		1.0000		1.7498
49	008989	N/A		C类		0.8621		0.5792		↑			112.57%		1.4745	48.6%		1.3099		2.7844
50	014320	N/A		C类		0.861		0.5598		↑			88.91%		0.8891	45.59%		1.0000		1.8891
51	011145	N/A		C类		0.8489		0.5584		↑			95.65%		0.9565	48.77%		1.0000		1.9565
