排序	编码		名称		类型		2025-08-26	2025-09-24	净增长	增长率
1	018927	南方中证电池主题指数发起C		指数型-股票		1.1468		1.5496		0.4028	35.12%
2	012863	汇添富中证电池主题ETF发起式联接C		指数型-股票		0.5831		0.7802		0.1971	33.8%
3	016020	招商中证电池主题ETF联接C		指数型-股票		0.6350		0.8459		0.2109	33.21%
4	015998	大成中证电池主题指数发起C		指数型-股票		0.6275		0.8351		0.2076	33.08%
5	016567	嘉实中证电池主题ETF发起联接C		指数型-股票		0.7091		0.9266		0.2175	30.67%
6	017223	富国中证电池主题ETF发起式联接C		指数型-股票		0.7846		1.0110		0.2264	28.86%
7	005538	中航新起航灵活配置混合C		混合型-灵活		0.7313		0.9340		0.2027	27.72%
8	016486	中欧成长先锋混合C		混合型-偏股		1.3944		1.7772		0.3828	27.45%
9	024420	华夏创业板新能源ETF发起式联接C		指数型-股票		1.0479		1.3274		0.2795	26.67%
10	011120	富国创新科技混合C		混合型-偏股		2.0340		2.5750		0.541	26.6%
11	013370	汇添富自主核心科技一年持有混合C		混合型-偏股		1.3548		1.7126		0.3578	26.41%
12	011900	长安鑫瑞科技6个月定开混合C		混合型-偏股		0.7742		0.9774		0.2032	26.25%
13	016579	长安宏观策略混合C		混合型-偏股		1.7080		2.1510		0.443	25.94%
14	014497	诺安研究优选混合C		混合型-偏股		1.0183		1.2766		0.2583	25.37%
15	013180	广发国证新能源车电池ETF联接C		指数型-股票		0.6538		0.8192		0.1654	25.3%
16	018380	万家国证新能源车电池指数发起式C		指数型-股票		0.9496		1.1884		0.2388	25.15%
17	009056	圆信永丰大湾区C		混合型-偏股		1.8010		2.2535		0.4525	25.12%
18	015874	工银国证新能源车电池ETF发起式联接C		指数型-股票		0.6889		0.8619		0.173	25.11%
19	017166	易米低碳经济股票发起C		股票型		0.8858		1.1081		0.2223	25.1%
20	017074	嘉实清洁能源股票发起式C		股票型		0.8006		1.0010		0.2004	25.03%
21	003985	嘉实新能源新材料股票C		股票型		1.9311		2.4130		0.4819	24.95%
22	022365	永赢科技智选混合发起C		混合型-偏股		2.6831		3.3524		0.6693	24.95%
23	005776	中加转型动力混合C		混合型-灵活		3.3163		4.1315		0.8152	24.58%
24	024070	上银中证半导体产业指数发起式C		指数型-股票		1.2859		1.6018		0.3159	24.57%
25	017968	华富科技动能混合C		混合型-偏股		1.5401		1.9135		0.3734	24.25%
26	018638	国泰研究优势混合C		混合型-偏股		1.0800		1.3416		0.2616	24.22%
27	014855	嘉实中证半导体指数增强发起式C		指数型-股票		1.5936		1.9792		0.3856	24.2%
28	005940	工银新能源汽车混合C		混合型-偏股		2.9464		3.6577		0.7113	24.14%
29	014766	中欧碳中和混合发起C		混合型-偏股		0.7555		0.9372		0.1817	24.05%
30	004846	南华瑞盈混合发起C		混合型-偏股		1.3028		1.6141		0.3113	23.89%
31	023567	德邦高端装备混合发起式C		混合型-偏股		1.0235		1.2678		0.2443	23.87%
32	016461	华宝核心优势混合C		混合型-灵活		3.4490		4.2680		0.819	23.75%
33	016373	信澳匠心严选一年持有混合C		混合型-偏股		1.1892		1.4713		0.2821	23.72%
34	019925	华宝竞争优势混合C		混合型-偏股		0.7315		0.9044		0.1729	23.64%
35	014320	德邦半导体产业混合发起式C		混合型-偏股		1.5456		1.9091		0.3635	23.52%
36	021719	华泰紫金中证半导体产业指数型发起C		指数型-股票		1.6474		2.0341		0.3867	23.47%
37	013722	信澳景气优选混合C		混合型-偏股		1.3167		1.6235		0.3068	23.3%
38	020840	南方中证半导体产业指数发起C		指数型-股票		1.7565		2.1633		0.4068	23.16%
