排序	编码		名称		类型		索提诺比率	夏普比率	MA趋势		增长率	净增长	最大回撤	2025-07-08	2025-11-04
1*	014728	N/A		C类		9.8905		5.0792		↑			72.14%		0.9442	7.98%		1.3089		2.2531
2*	004235	N/A		C类		8.9021		4.4679		↑			23.88%		0.9757	4.58%		4.0864		5.0621
3*	012922	N/A		C类		8.838		5.0159		↑			51.07%		0.8313	5.19%		1.6279		2.4592
4*	007509	N/A		C类		8.2102		4.2814		↑			42.38%		1.352	7.44%		3.1900		4.5420
5*	001407	N/A		C类		7.9093		4.3941		↑			73.3%		1.672	11.85%		2.2810		3.9530
6*	021500	N/A		C类		7.7374		4.1134		↑			60.62%		1.002	12.14%		1.6530		2.6550
7*	006503	N/A		C类		7.704		4.0799		↑			99.11%		1.8167	13.97%		1.8331		3.6498
8*	016600	N/A		C类		7.2263		4.0453		↑			63.54%		1.7285	12.15%		2.7204		4.4489
9*	014642	N/A		C类		7.1147		3.854		↑			53.09%		2.9703	9.09%		5.5950		8.5653
10*	011499	N/A		C类		7.0418		4.1507		↑			25.92%		0.2197	4.73%		0.8475		1.0672
11*	010392	N/A		C类		7.027		4.0352		↑			69.0%		0.6631	10.4%		0.9610		1.6241
12*	004241	N/A		C类		6.9941		4.3182		↑			20.14%		0.4722	4.71%		2.3444		2.8166
13*	018994	N/A		C类		6.9318		3.9132		↑			67.61%		1.1687	12.17%		1.7287		2.8974
14*	011823	N/A		C类		6.9313		4.0269		↑			59.27%		0.4912	9.62%		0.8288		1.3200
15*	019514	N/A		C类		6.8587		3.9387		↑			68.04%		1.0607	13.83%		1.5589		2.6196
16*	011301	N/A		C类		6.849		4.0161		↑			57.21%		0.5338	9.58%		0.9331		1.4669
17*	016068	N/A		C类		6.8436		4.0844		↑			50.78%		0.4049	11.2%		0.7973		1.2022
18*	012895	N/A		C类		6.8053		3.995		↑			56.83%		0.3558	10.06%		0.6261		0.9819
19*	015683	N/A		C类		6.7939		3.8288		↑			46.03%		0.7021	11.31%		1.5254		2.2275
20*	010865	N/A		C类		6.7765		4.118		↑			34.88%		0.1897	9.13%		0.5439		0.7336
21*	016283	N/A		C类		6.7219		3.7521		↑			15.21%		0.181	2.32%		1.1900		1.3710
22*	010422	N/A		C类		6.711		3.8676		↑			25.39%		0.2789	5.74%		1.0983		1.3772
23*	011237	N/A		C类		6.7081		3.9512		↑			32.5%		0.241	7.74%		0.7416		0.9826
24*	007818	N/A		C类		6.7009		3.8705		↑			73.63%		1.0679	11.8%		1.4503		2.5182
25*	011036	N/A		C类		6.7004		3.5143		↑			47.54%		0.3995	9.0%		0.8403		1.2398
26*	013305	N/A		C类		6.6761		3.9715		↑			56.38%		0.382	9.98%		0.6775		1.0595
27*	002170	N/A		C类		6.6348		3.9535		↑			58.58%		2.1034	13.08%		3.5907		5.6941
28*	013311	N/A		C类		6.6201		3.9192		↑			55.28%		0.3576	9.99%		0.6469		1.0045
29*	004237	N/A		C类		6.6168		3.9612		↑			36.81%		0.8371	7.36%		2.2741		3.1112
30*	012908	N/A		C类		6.5794		3.9205		↑			56.06%		0.3615	10.04%		0.6449		1.0064
31*	014985	N/A		C类		6.5114		3.8012		↑			48.65%		0.5641	9.98%		1.1594		1.7235
32*	007465	N/A		C类		6.4496		3.7749		↑			43.22%		0.6408	9.15%		1.4826		2.1234
33*	008087	N/A		C类		6.4305		3.7388		↑			67.16%		0.8037	12.0%		1.1967		2.0004
34*	160424	N/A		C类		6.39		3.7514		↑			41.62%		0.7886	8.92%		1.8947		2.6833
35*	011120	N/A		C类		6.3885		3.6216		↑			73.91%		1.034	12.79%		1.3990		2.4330
36*	015389	N/A		C类		6.3795		3.4954		↑			66.07%		0.8818	12.84%		1.3346		2.2164
37*	015152	N/A		C类		6.3604		3.834		↑			56.01%		0.5916	13.73%		1.0563		1.6479
38*	002036	N/A		C类		6.3588		3.8442		↑			22.41%		0.6838	4.17%		3.0518		3.7356
39*	015690	N/A		C类		6.3229		3.5884		↑			48.68%		1.564	10.14%		3.2130		4.7770
40*	014162	N/A		C类		6.2984		3.5725		↑			65.75%		1.356	13.27%		2.0624		3.4184
41*	010791	N/A		C类		6.2934		3.627		↑			36.61%		0.3158	6.38%		0.8626		1.1784
42*	005300	N/A		C类		6.2859		3.5616		↑			64.93%		1.5241	13.32%		2.3472		3.8713
43*	007356	N/A		C类		6.2794		3.7364		↑			48.35%		1.1073	9.69%		2.2901		3.3974
44*	002052	N/A		C类		6.2563		3.7332		↑			43.11%		0.676	10.2%		1.5680		2.2440
45*	015039	N/A		C类		6.2336		3.7448		↑			18.52%		0.1167	3.91%		0.6302		0.7469
46*	004744	N/A		C类		6.2001		3.6658		↑			41.4%		0.9163	9.42%		2.2132		3.1295
47*	004343	N/A		C类		6.1956		3.6609		↑			41.46%		0.4672	9.46%		1.1269		1.5941
48	006888	N/A		C类		6.1784		3.2946		↑			82.04%		0.9368	15.73%		1.1419		2.0787
49	018957	N/A		C类		6.1777		3.3765		↑			79.49%		1.3154	17.4%		1.6547		2.9701
50*	001593	N/A		C类		6.1469		3.6437		↑			41.4%		0.3639	9.58%		0.8790		1.2429
51*	003766	N/A		C类		6.1196		3.6273		↑			42.3%		0.5039	9.75%		1.1912		1.6951
