基金代码,基金简称,最新单位净值,日涨跌幅,资产规模,基金类型,管理费率,销售服务费率,托管费率,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1周),平均滚动年化收益率(1季度),平均滚动年化收益率(1年),平均滚动年化收益率(1月),平均滚动年化收益率(半年)
014662,天弘上海金ETF发起联接C,2.0529,0.32%,11.27亿元,指数型-其他,0.25%（每年）,0.35%（每年）,0.05%（每年）,2022-09-26,2025-11-07,28.84%,12.99%,-10.74%,2.065,153.81%,30.93%,26.90%,46.10%,28.20%
008987,广发上海金ETF联接C,1.9414,0.32%,12.09亿元,指数型-其他,0.50%（每年）,0.35%（每年）,0.10%（每年）,2022-09-26,2025-11-07,28.52%,13.03%,-10.89%,2.036,153.87%,30.69%,26.41%,45.92%,27.91%
008327,东财通信C,2.4074,-1.40%,6.46亿元,指数型-股票,0.50%（每年）,0.25%（每年）,0.05%（每年）,2022-09-26,2025-11-07,40.93%,34.54%,-34.53%,1.127,439233.62%,93.37%,26.91%,261.40%,43.10%
010524,银华中证5G通信主题ETF联接C,1.5658,-1.73%,4.31亿元,指数型-股票,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,34.45%,33.18%,-34.91%,0.978,171996.02%,83.00%,20.84%,226.23%,35.35%
014544,汇添富中证沪港深云计算产业ETF联接C,1.6604,-1.92%,9.75亿元,指数型-股票,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,34.49%,34.21%,-46.36%,0.949,2330721.88%,71.84%,23.01%,330.23%,36.54%
011840,天弘中证人工智能C,1.4933,-1.94%,29.85亿元,指数型-股票,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,30.02%,33.04%,-42.63%,0.848,2918458.76%,67.82%,18.90%,261.36%,30.95%
015677,鹏华中证一带一路主题指数(LOF)C,1.6427,0.53%,0.20亿元,指数型-股票,1.00%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,17.64%,18.54%,-19.91%,0.843,3850.79%,26.57%,8.88%,50.94%,13.72%
012734,易方达中证人工智能主题ETF联接C,1.7046,-1.96%,76.17亿元,指数型-股票,0.15%（每年）,0.10%（每年）,0.05%（每年）,2022-09-26,2025-11-07,29.52%,32.79%,-42.79%,0.839,3509579.10%,67.60%,18.62%,269.90%,30.64%
009239,融通人工智能指数(LOF)C,2.2737,-1.92%,2.04亿元,指数型-股票,0.80%（每年）,0.40%（每年）,0.15%（每年）,2022-09-26,2025-11-07,29.16%,32.73%,-42.35%,0.830,3239423.54%,66.54%,18.26%,258.60%,29.92%
012551,华宝中证电子50ETF联接C,1.2450,-1.81%,0.19亿元,指数型-股票,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,24.58%,27.55%,-32.76%,0.820,386055.17%,47.08%,19.21%,138.14%,24.04%
014130,融通中证云计算与大数据主题指数(LOF)C,1.7158,-1.88%,9.63亿元,指数型-股票,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,30.03%,35.42%,-48.73%,0.791,4894342.74%,70.21%,18.00%,338.90%,34.12%
