基金简称,资产规模,基金类型,最新日涨跌幅,最新净值,管理费率,基金代码,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1月),平均滚动年化收益率(1季度),平均滚动年化收益率(半年),平均滚动年化收益率(1年)
所有基金共同分析期：2022-09-26 到 2025-11-07,,,,,,所有基金共同分析期,,,,,,,,,,
天弘上海金ETF发起联接C,N/A,N/A,( 0.32% ),2.0529,0.25%（每年）,014662,2022-03-02,2025-11-07,22.31%,12.58%,-10.74%,1.614,24.41%,22.18%,22.92%,23.23%
广发上海金ETF联接C,N/A,N/A,( 0.32% ),1.9414,0.50%（每年）,008987,2020-08-05,2025-11-07,14.07%,12.51%,-15.71%,0.965,15.16%,14.06%,14.28%,14.38%
鹏华中证一带一路主题指数(LOF)C,N/A,N/A,( 0.53% ),1.6427,1.00%（每年）,015677,2022-05-20,2025-11-07,15.82%,18.35%,-19.91%,0.753,14.34%,12.21%,9.24%,7.24%
华安创业板50ETF联接C,N/A,N/A,( -0.68% ),2.4607,0.50%（每年）,160424,2019-05-21,2025-11-07,16.97%,26.27%,-51.79%,0.570,17.20%,15.87%,12.63%,9.58%
长城中证500指数增强C,N/A,N/A,( -0.32% ),1.7455,1.00%（每年）,007413,2019-05-09,2025-11-07,12.69%,19.28%,-34.76%,0.554,12.48%,12.08%,10.64%,9.38%
华泰柏瑞中证科技ETF联接C,N/A,N/A,( -0.98% ),1.9731,0.50%（每年）,008400,2020-02-26,2025-11-07,13.89%,21.77%,-36.64%,0.546,14.58%,13.20%,8.07%,4.60%
嘉实中证半导体指数增强发起式C,N/A,N/A,( -0.57% ),1.9204,0.60%（每年）,014855,2022-04-22,2025-11-07,21.08%,35.11%,-46.34%,0.543,16.93%,12.86%,6.81%,5.73%
国泰国证有色金属行业指数(LOF)C,N/A,N/A,( 0.57% ),2.1006,1.00%（每年）,015596,2022-05-17,2025-11-07,15.06%,24.44%,-34.78%,0.534,13.42%,9.00%,5.36%,2.12%
国联安上证商品ETF联接C,N/A,N/A,( 0.78% ),1.4793,0.60%（每年）,015577,2022-05-13,2025-11-07,11.55%,18.81%,-22.91%,0.507,8.77%,6.23%,3.81%,2.76%
名称查找失败(015676),N/A,N/A,N/A,N/A,N/A,015676,2022-05-10,2025-11-07,16.18%,28.06%,-39.50%,0.505,15.32%,13.62%,10.61%,8.48%
