基金代码,基金名称,基金管理人,基金经理,成立日期,基金托管人,更新时间
012734,易方达中证人工智能主题ETF联接C,易方达基金,张湛,2022-03-01,N/A,2025-11-07 18:38:19
011965,泰康中证500ETF联接C,泰康基金,魏军,2022-08-01,N/A,2025-11-07 18:38:19
011609,易方达上证科创50联接C,易方达基金,林伟斌,2021-03-01,N/A,2025-11-07 18:38:19
007029,易方达中证500ETF联接发起式C,易方达基金,余海燕,2019-03-20,N/A,2025-11-07 18:38:19
007665,永赢创业板指数发起式C,永赢基金,刘庭宇,2019-09-10,N/A,2025-11-07 18:38:19
011613,华夏科创50ETF联接C,华夏基金,荣膺,2021-03-04,N/A,2025-11-07 18:38:21
013277,富国创业板ETF联接C,富国基金,曹璐迪,2021-08-17,N/A,2025-11-07 18:38:21
008001,鹏华中证500ETF联接C,鹏华基金,陈龙,2020-01-15,N/A,2025-11-07 18:38:21
001593,天弘创业板ETF联接C,天弘基金,林心龙,2015-07-08,N/A,2025-11-07 18:38:21
004744,易方达创业板ETF联接C,易方达基金,成曦,2017-06-02,N/A,2025-11-07 18:38:21
012718,易方达中证科技50ETF联接C,易方达基金,张湛,2022-02-14,N/A,2025-11-07 18:38:22
013305,易方达中证科创创业50联接C,易方达基金,伍臣东,2021-08-24,N/A,2025-11-07 18:38:22
070039,嘉实中证500ETF联接C,嘉实基金,何如,2018-09-13,N/A,2025-11-07 18:38:22
006382,华夏中证500ETF联接C,华夏基金,荣膺,2018-09-19,N/A,2025-11-07 18:38:22
004348,南方中证500ETF联接,南方基金,罗文杰,2017-02-23,N/A,2025-11-07 18:38:22
012899,兴银中证科创创业50指数C,兴银基金管理,林学晨,2021-07-14,N/A,2025-11-07 18:38:23
006215,平安500ETF联接C,平安基金,李严,2018-09-05,N/A,2025-11-07 18:38:23
013894,国联安上证科创50ETF联接C,国联安基金,黄欣,2022-05-24,N/A,2025-11-07 18:38:23
011036,嘉实中证稀土产业ETF联接C,嘉实基金,田光远,2021-08-03,N/A,2025-11-07 18:38:23
014662,天弘上海金ETF发起联接C,天弘基金,沙川,2022-03-02,N/A,2025-11-07 18:38:23
014777,富国中证芯片产业ETF发起式联接C,富国基金,张圣贤,2022-01-18,N/A,2025-11-07 18:38:24
007223,工银中证500ETF联接C,工银瑞信基金,刘子豪,2020-02-18,N/A,2025-11-07 18:38:24
012553,天弘芯片产业ETF联接C,天弘基金,洪明华,2021-07-21,N/A,2025-11-07 18:38:25
007816,嘉实新兴科技100ETF联接C,嘉实基金,尚可,2019-11-01,N/A,2025-11-07 18:38:25
005919,天弘中证500ETF联接C,天弘基金,陈瑶,2018-04-24,N/A,2025-11-07 18:38:25
501037,汇添富中证500ETF联接,汇添富基金,吴振翔,2017-08-10,N/A,2025-11-07 18:38:26
001618,天弘中证电子ETF联接C,天弘基金,洪明华,2015-07-29,N/A,2025-11-07 18:38:26
012551,华宝中证电子50ETF联接C,华宝基金,蒋俊阳,2021-07-19,N/A,2025-11-07 18:38:26
011317,天弘创业板300ETF发起式联接C,天弘基金,陈瑶,2021-05-07,N/A,2025-11-07 18:38:26
010956,天弘中证智能汽车指数发起式C,天弘基金,祁世超,2021-01-19,N/A,2025-11-07 18:38:26
011840,天弘中证人工智能C,天弘基金,祁世超,2021-08-17,N/A,2025-11-07 18:38:27
