基金代码,基金简称,资产规模,基金类型,最新日涨跌幅,最新净值,管理费率,销售服务费率,托管费率,起始日期,结束日期,共同期年化收益率,共同期年化标准差,共同期最大回撤(MDD),共同期夏普比率
014662,天弘上海金ETF发起联接C,11.27亿元,指数型-其他,( 0.32% ),2.0529,0.25%（每年）,0.35%（每年）,0.05%（每年）,2022-09-26,2025-11-07,29.85%,12.99%,-10.74%,2.144
008987,广发上海金ETF联接C,12.09亿元,指数型-其他,( 0.32% ),1.9414,0.50%（每年）,0.35%（每年）,0.10%（每年）,2022-09-26,2025-11-07,29.53%,13.03%,-10.89%,2.113
008327,东财通信C,6.46亿元,指数型-股票,( -1.40% ),2.4074,0.50%（每年）,0.25%（每年）,0.05%（每年）,2022-09-26,2025-11-07,42.44%,34.54%,-34.53%,1.171
010524,银华中证5G通信主题ETF联接C,4.31亿元,指数型-股票,( -1.73% ),1.5658,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,35.69%,33.18%,-34.91%,1.015
014544,汇添富中证沪港深云计算产业ETF联接C,9.75亿元,指数型-股票,( -1.92% ),1.6604,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,35.73%,34.21%,-46.36%,0.986
011840,天弘中证人工智能C,29.85亿元,指数型-股票,( -1.94% ),1.4933,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,31.08%,33.04%,-42.63%,0.880
015677,鹏华中证一带一路主题指数(LOF)C,0.20亿元,指数型-股票,( 0.53% ),1.6427,1.00%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,18.23%,18.54%,-19.91%,0.875
012734,易方达中证人工智能主题ETF联接C,76.17亿元,指数型-股票,( -1.96% ),1.7046,0.15%（每年）,0.10%（每年）,0.05%（每年）,2022-09-26,2025-11-07,30.56%,32.79%,-42.79%,0.871
009239,融通人工智能指数(LOF)C,2.04亿元,指数型-股票,( -1.92% ),2.2737,0.80%（每年）,0.40%（每年）,0.15%（每年）,2022-09-26,2025-11-07,30.19%,32.73%,-42.35%,0.861
012551,华宝中证电子50ETF联接C,0.19亿元,指数型-股票,( -1.81% ),1.2450,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,25.43%,27.55%,-32.76%,0.850
014130,融通中证云计算与大数据主题指数(LOF)C,9.63亿元,指数型-股票,( -1.88% ),1.7158,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,31.10%,35.42%,-48.73%,0.822
010531,申万中证申万电子行业投资指数(LOF)C,0.38亿元,指数型-股票,( -2.00% ),1.5351,0.50%（每年）,0.30%（每年）,0.10%（每年）,2022-09-26,2025-11-07,25.66%,29.55%,-35.66%,0.801
008400,华泰柏瑞中证科技ETF联接C,0.69亿元,指数型-股票,( -0.98% ),1.9731,0.50%（每年）,0.25%（每年）,0.10%（每年）,2022-09-26,2025-11-07,19.24%,21.86%,-28.86%,0.789
014173,富国中证移动互联网指数(LOF)C,0.27亿元,指数型-股票,( -1.57% ),1.2540,1.00%（每年）,0.20%（每年）,0.12%（每年）,2022-09-26,2025-11-07,23.15%,28.72%,-38.17%,0.737
011833,西部利得人工智能主题指数增强C,3.33亿元,指数型-股票,( -2.01% ),1.4480,1.20%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,26.75%,33.72%,-46.40%,0.734
001618,天弘中证电子ETF联接C,6.88亿元,指数型-股票,( -1.71% ),1.9504,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,23.14%,28.99%,-35.65%,0.729
015877,富国中证消费电子主题ETF发起式联接C,5.03亿元,指数型-股票,( -1.97% ),1.5768,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,22.42%,28.71%,-34.83%,0.711
012040,鹏华中证信息技术指数(LOF)C,0.24亿元,指数型-股票,( -1.77% ),1.3783,1.00%（每年）,0.10%（每年）,0.20%（每年）,2022-09-26,2025-11-07,22.29%,29.00%,-39.11%,0.700
014345,鹏华中证500指数增强C,5.87亿元,指数型-股票,( -0.57% ),1.4165,0.80%（每年）,0.40%（每年）,0.15%（每年）,2022-09-26,2025-11-07,14.94%,19.23%,-22.78%,0.673
013084,中信保诚中证智能家居指数(LOF)C,0.29亿元,指数型-股票,( -1.13% ),1.2083,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,20.25%,27.30%,-37.49%,0.668
013081,中信保诚中证800有色指数(LOF)C,1.91亿元,指数型-股票,( 0.60% ),2.5905,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,18.27%,24.44%,-31.42%,0.666
007874,华宝科技ETF联接C,3.58亿元,指数型-股票,( -1.55% ),1.6593,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,19.62%,26.60%,-33.65%,0.662
013122,中信保诚中证TMT(LOF)C,0.22亿元,指数型-股票,( -1.10% ),1.1343,1.00%（每年）,0.40%（每年）,0.20%（每年）,2022-09-26,2025-11-07,20.64%,28.60%,-41.63%,0.652
007816,嘉实新兴科技100ETF联接C,0.36亿元,指数型-股票,( -1.49% ),1.5172,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,18.10%,24.85%,-32.93%,0.648
015895,平安中证消费电子主题ETF发起式联接C,1.08亿元,指数型-股票,( -1.99% ),1.5422,0.50%（每年）,0.40%（每年）,0.10%（每年）,2022-09-26,2025-11-07,20.16%,28.38%,-35.24%,0.640
015676,鹏华中证移动互联网指数(LOF)C,0.09亿元,指数型-股票,( -1.59% ),1.6682,1.00%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,20.34%,28.81%,-39.50%,0.637
012809,鹏华中证沪港深科技龙头指数(LOF)C,0.39亿元,指数型-股票,( -1.57% ),1.1068,0.60%（每年）,0.30%（每年）,0.15%（每年）,2022-09-26,2025-11-07,17.63%,24.75%,-31.45%,0.631
015596,国泰国证有色金属行业指数(LOF)C,3.90亿元,指数型-股票,( 0.57% ),2.1006,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,17.21%,24.36%,-33.12%,0.625
002974,广发信息技术联接C,3.30亿元,指数型-股票,( -1.69% ),1.6055,0.50%（每年）,0.20%（每年）,0.10%（每年）,2022-09-26,2025-11-07,20.23%,29.21%,-40.90%,0.624
014194,汇添富中证芯片产业指数增强发起式C,3.85亿元,指数型-股票,( -0.87% ),1.2397,1.20%（每年）,0.30%（每年）,0.20%（每年）,2022-09-26,2025-11-07,21.37%,33.04%,-39.69%,0.586
013278,富国中证体育产业指数(LOF)C,0.53亿元,指数型-股票,( -0.85% ),1.1610,1.00%（每年）,0.20%（每年）,0.20%（每年）,2022-09-26,2025-11-07,19.06%,29.21%,-45.76%,0.584
016277,招商中证800指数增强C,1.77亿元,指数型-股票,( -0.41% ),1.2920,0.60%（每年）,0.50%（每年）,0.10%（每年）,2022-09-26,2025-11-07,11.94%,17.12%,-22.66%,0.581
