date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2026-01-13,2.6413,2.6413,-0.012,场内买入,场内卖出,
2026-01-12,2.6733,2.6733,0.0202,场内买入,场内卖出,
2026-01-09,2.6203,2.6203,0.0182,场内买入,场内卖出,
2026-01-08,2.5734,2.5734,0.0025,场内买入,场内卖出,
2026-01-07,2.5671,2.5671,0.006,场内买入,场内卖出,
2026-01-06,2.5517,2.5517,0.0196,场内买入,场内卖出,
2026-01-05,2.5026,2.5026,0.0183,场内买入,场内卖出,
2025-12-31,2.4577,2.4577,0.0016,场内买入,场内卖出,
2025-12-30,2.4538,2.4538,0.002,场内买入,场内卖出,
2025-12-29,2.4488,2.4488,-0.0034999999999999,场内买入,场内卖出,
2025-12-26,2.4573,2.4573,0.0063,场内买入,场内卖出,
2025-12-25,2.442,2.442,0.0073,场内买入,场内卖出,
2025-12-24,2.4242,2.4242,0.0124,场内买入,场内卖出,
2025-12-23,2.3945,2.3945,-0.0023,场内买入,场内卖出,
2025-12-22,2.4,2.4,0.0098999999999999,场内买入,场内卖出,
2025-12-19,2.3765,2.3765,0.0109,场内买入,场内卖出,
2025-12-18,2.3508,2.3508,-0.0031,场内买入,场内卖出,
2025-12-17,2.3582,2.3582,0.0162,场内买入,场内卖出,
2025-12-16,2.3205,2.3205,-0.0144999999999999,场内买入,场内卖出,
2025-12-15,2.3547,2.3547,-0.0052,场内买入,场内卖出,
2025-12-12,2.3671,2.3671,0.0113,场内买入,场内卖出,
2025-12-11,2.3406,2.3406,-0.0087,场内买入,场内卖出,
2025-12-10,2.3612,2.3612,0.0040999999999999,场内买入,场内卖出,
2025-12-09,2.3516,2.3516,-0.008,场内买入,场内卖出,
2025-12-08,2.3706,2.3706,0.0058,场内买入,场内卖出,
2025-12-05,2.357,2.357,0.0116,场内买入,场内卖出,
2025-12-04,2.3299,2.3299,0.0017,场内买入,场内卖出,
2025-12-03,2.326,2.326,-0.0045,场内买入,场内卖出,
2025-12-02,2.3366,2.3366,-0.0081,场内买入,场内卖出,
2025-12-01,2.3556,2.3556,0.0098,场内买入,场内卖出,
2025-11-28,2.3328,2.3328,0.0098999999999999,场内买入,场内卖出,
2025-11-27,2.31,2.31,-0.0012,场内买入,场内卖出,
2025-11-26,2.3128,2.3128,-0.0011,场内买入,场内卖出,
2025-11-25,2.3153,2.3153,0.009,场内买入,场内卖出,
2025-11-24,2.2946,2.2946,0.0063,场内买入,场内卖出,
2025-11-21,2.2803,2.2803,-0.0308999999999999,场内买入,场内卖出,
2025-11-20,2.3529,2.3529,-0.0089,场内买入,场内卖出,
2025-11-19,2.3741,2.3741,-0.0049,场内买入,场内卖出,
2025-11-18,2.3859,2.3859,-0.0113999999999999,场内买入,场内卖出,
2025-11-17,2.4135,2.4135,-0.0040999999999999,场内买入,场内卖出,
2025-11-14,2.4234,2.4234,-0.0098999999999999,场内买入,场内卖出,
2025-11-13,2.4477,2.4477,0.0109,场内买入,场内卖出,
2025-11-12,2.4214,2.4214,-0.0075,场内买入,场内卖出,
2025-11-11,2.4398,2.4398,-0.0052,场内买入,场内卖出,
2025-11-10,2.4525,2.4525,0.0039,场内买入,场内卖出,
2025-11-07,2.4429,2.4429,-0.001,场内买入,场内卖出,
2025-11-06,2.4454,2.4454,0.0137,场内买入,场内卖出,
2025-11-05,2.4124,2.4124,0.0065,场内买入,场内卖出,
2025-11-04,2.3968,2.3968,-0.0141,场内买入,场内卖出,
2025-11-03,2.431,2.431,0.0002,场内买入,场内卖出,
2025-10-31,2.4304,2.4304,-0.0064,场内买入,场内卖出,
2025-10-30,2.446,2.446,-0.0127,场内买入,场内卖出,
2025-10-29,2.4775,2.4775,0.0175,场内买入,场内卖出,
2025-10-28,2.435,2.435,-0.0042,场内买入,场内卖出,
2025-10-27,2.4452,2.4452,0.0123,场内买入,场内卖出,
2025-10-24,2.4156,2.4156,0.0125,场内买入,场内卖出,
2025-10-23,2.3857,2.3857,0.0009,场内买入,场内卖出,
2025-10-22,2.3835,2.3835,-0.0079,场内买入,场内卖出,
2025-10-21,2.4025,2.4025,0.0128,场内买入,场内卖出,
2025-10-20,2.3722,2.3722,0.0065,场内买入,场内卖出,
2025-10-17,2.3568,2.3568,-0.0283,场内买入,场内卖出,
2025-10-16,2.4255,2.4255,-0.0107,场内买入,场内卖出,
2025-10-15,2.4517,2.4517,0.013,场内买入,场内卖出,
2025-10-14,2.4202,2.4202,-0.0187999999999999,场内买入,场内卖出,
2025-10-13,2.4665,2.4665,-0.0034,场内买入,场内卖出,
2025-10-10,2.4748,2.4748,-0.0141999999999999,场内买入,场内卖出,
2025-10-09,2.5104,2.5104,0.0163999999999999,场内买入,场内卖出,
2025-09-30,2.4698,2.4698,0.0113999999999999,场内买入,场内卖出,
2025-09-29,2.4419,2.4419,0.011,场内买入,场内卖出,
2025-09-26,2.4154,2.4154,-0.0073,场内买入,场内卖出,
2025-09-25,2.4332,2.4332,0.0009,场内买入,场内卖出,
2025-09-24,2.4309,2.4309,0.0194,场内买入,场内卖出,
2025-09-23,2.3846,2.3846,-0.0043,场内买入,场内卖出,
2025-09-22,2.3948,2.3948,0.0009,场内买入,场内卖出,
2025-09-19,2.3927,2.3927,0.0003,场内买入,场内卖出,
2025-09-18,2.392,2.392,-0.0083,场内买入,场内卖出,
2025-09-17,2.4119,2.4119,0.0098999999999999,场内买入,场内卖出,
2025-09-16,2.3883,2.3883,0.0065,场内买入,场内卖出,
2025-09-15,2.3729,2.3729,-0.0037,场内买入,场内卖出,
2025-09-12,2.3818,2.3818,0.0,场内买入,场内卖出,
2025-09-11,2.3818,2.3818,0.0192999999999999,场内买入,场内卖出,
2025-09-10,2.3368,2.3368,-0.004,场内买入,场内卖出,
2025-09-09,2.3462,2.3462,-0.0053,场内买入,场内卖出,
