date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-31,1.2121,1.2374,0.0021,场内买入,场内卖出,
2025-12-30,1.2095,1.2348,-0.0007,场内买入,场内卖出,
2025-12-29,1.2103,1.2356,0.0022,场内买入,场内卖出,
2025-12-26,1.2077,1.233,-0.0004,场内买入,场内卖出,
2025-12-25,1.2082,1.2335,0.0004,场内买入,场内卖出,
2025-12-24,1.2077,1.233,-0.0004,场内买入,场内卖出,
2025-12-23,1.2082,1.2335,0.0006,场内买入,场内卖出,
2025-12-22,1.2075,1.2328,0.001,场内买入,场内卖出,
2025-12-19,1.2063,1.2316,-0.0006,场内买入,场内卖出,
2025-12-18,1.207,1.2323,0.0103,场内买入,场内卖出,
2025-12-17,1.1947,1.22,0.0060999999999999,场内买入,场内卖出,
2025-12-16,1.1874,1.2127,-0.0083,场内买入,场内卖出,
2025-12-15,1.1973,1.2226,0.0039,场内买入,场内卖出,
2025-12-12,1.1926,1.2179,-0.003,场内买入,场内卖出,
2025-12-11,1.1962,1.2215,-0.0056999999999999,场内买入,场内卖出,
2025-12-10,1.2031,1.2284,-0.0046,场内买入,场内卖出,
2025-12-09,1.2087,1.234,-0.0076,场内买入,场内卖出,
2025-12-08,1.218,1.2433,-0.0051,场内买入,场内卖出,
2025-12-05,1.2243,1.2496,0.0037,场内买入,场内卖出,
2025-12-04,1.2198,1.2451,-0.0028,场内买入,场内卖出,
2025-12-03,1.2232,1.2485,-0.0023,场内买入,场内卖出,
2025-12-02,1.226,1.2513,-0.0007,场内买入,场内卖出,
2025-12-01,1.2268,1.2521,0.0070999999999999,场内买入,场内卖出,
2025-11-28,1.2181,1.2434,0.0,场内买入,场内卖出,
2025-11-27,1.2181,1.2434,-0.0008,场内买入,场内卖出,
2025-11-26,1.2191,1.2444,-0.004,场内买入,场内卖出,
2025-11-25,1.224,1.2493,0.0074,场内买入,场内卖出,
2025-11-24,1.215,1.2403,-0.005,场内买入,场内卖出,
2025-11-21,1.2211,1.2464,-0.0157,场内买入,场内卖出,
2025-11-20,1.2406,1.2659,0.0004,场内买入,场内卖出,
2025-11-19,1.2401,1.2654,0.0076,场内买入,场内卖出,
2025-11-18,1.2308,1.2561,-0.0113,场内买入,场内卖出,
2025-11-17,1.2449,1.2702,-0.0095,场内买入,场内卖出,
2025-11-14,1.2569,1.2822,-0.0074,场内买入,场内卖出,
2025-11-13,1.2663,1.2916,0.0064,场内买入,场内卖出,
2025-11-12,1.2582,1.2835,0.0048,场内买入,场内卖出,
2025-11-11,1.2522,1.2775,0.0022,场内买入,场内卖出,
2025-11-10,1.2495,1.2748,0.0069,场内买入,场内卖出,
2025-11-07,1.2409,1.2662,0.0027,场内买入,场内卖出,
2025-11-06,1.2375,1.2628,0.0072,场内买入,场内卖出,
2025-11-05,1.2287,1.254,0.002,场内买入,场内卖出,
2025-11-04,1.2263,1.2516,-0.0007,场内买入,场内卖出,
2025-11-03,1.2271,1.2524,0.0103,场内买入,场内卖出,
2025-10-31,1.2146,1.2399,-0.0069999999999999,场内买入,场内卖出,
2025-10-30,1.2232,1.2485,0.0034999999999999,场内买入,场内卖出,
2025-10-29,1.2189,1.2442,0.0036,场内买入,场内卖出,
2025-10-28,1.2145,1.2398,-0.0043,场内买入,场内卖出,
2025-10-27,1.2197,1.245,0.01,场内买入,场内卖出,
2025-10-24,1.2076,1.2329,-0.0034999999999999,场内买入,场内卖出,
2025-10-23,1.2118,1.2371,0.006,场内买入,场内卖出,每份派现金0.0095元
2025-10-22,1.214,1.2298,0.0042,场内买入,场内卖出,
2025-10-21,1.2089,1.2247,0.0093999999999999,场内买入,场内卖出,
2025-10-20,1.1976,1.2134,0.0025,场内买入,场内卖出,
2025-10-17,1.1946,1.2104,-0.0069,场内买入,场内卖出,
2025-10-16,1.2029,1.2187,0.0044,场内买入,场内卖出,
2025-10-15,1.1976,1.2134,0.0039,场内买入,场内卖出,
2025-10-14,1.193,1.2088,0.0053,场内买入,场内卖出,
2025-10-13,1.1867,1.2025,-0.0055,场内买入,场内卖出,
2025-10-10,1.1933,1.2091,0.0079,场内买入,场内卖出,
2025-10-09,1.184,1.1998,0.0070999999999999,场内买入,场内卖出,
2025-09-30,1.1757,1.1915,-0.0003,场内买入,场内卖出,
2025-09-29,1.1761,1.1919,-0.0005,场内买入,场内卖出,
2025-09-26,1.1767,1.1925,-0.0016,场内买入,场内卖出,
2025-09-25,1.1786,1.1944,-0.0028,场内买入,场内卖出,
2025-09-24,1.1819,1.1977,0.0,场内买入,场内卖出,
2025-09-23,1.1819,1.1977,0.0034999999999999,场内买入,场内卖出,
2025-09-22,1.1778,1.1936,-0.0066,场内买入,场内卖出,
2025-09-19,1.1856,1.2014,0.0011,场内买入,场内卖出,
2025-09-18,1.1843,1.2001,-0.015,场内买入,场内卖出,
2025-09-17,1.2023,1.2181,0.0052,场内买入,场内卖出,
2025-09-16,1.1961,1.2119,-0.0024,场内买入,场内卖出,
2025-09-15,1.199,1.2148,-0.003,场内买入,场内卖出,
2025-09-12,1.2026,1.2184,-0.0066,场内买入,场内卖出,
2025-09-11,1.2106,1.2264,0.0083,场内买入,场内卖出,
2025-09-10,1.2006,1.2164,-0.0006,场内买入,场内卖出,
2025-09-09,1.2013,1.2171,-0.0013,场内买入,场内卖出,
2025-09-08,1.2029,1.2187,0.008,场内买入,场内卖出,
2025-09-05,1.1934,1.2092,0.0004,场内买入,场内卖出,
2025-09-04,1.1929,1.2087,-0.0015,场内买入,场内卖出,
2025-09-03,1.1947,1.2105,-0.0103,场内买入,场内卖出,
2025-09-02,1.2071,1.2229,0.0014,场内买入,场内卖出,
2025-09-01,1.2054,1.2212,0.0,场内买入,场内卖出,
2025-08-29,1.2054,1.2212,-0.0013,场内买入,场内卖出,
2025-08-28,1.207,1.2228,0.0033,场内买入,场内卖出,
2025-08-27,1.203,1.2188,-0.0187999999999999,场内买入,场内卖出,
2025-08-26,1.2261,1.2419,-0.0017,场内买入,场内卖出,
2025-08-25,1.2282,1.244,0.0141999999999999,场内买入,场内卖出,
2025-08-22,1.211,1.2268,0.0007,场内买入,场内卖出,
2025-08-21,1.2102,1.226,0.0074,场内买入,场内卖出,
2025-08-20,1.2013,1.2171,0.0098,场内买入,场内卖出,
2025-08-19,1.1897,1.2055,0.0008,场内买入,场内卖出,
2025-08-18,1.1887,1.2045,0.0025,场内买入,场内卖出,
2025-08-15,1.1857,1.2015,0.0042,场内买入,场内卖出,
2025-08-14,1.1807,1.1965,-0.0024,场内买入,场内卖出,
2025-08-13,1.1835,1.1993,-0.0009,场内买入,场内卖出,
2025-08-12,1.1846,1.2004,0.005,场内买入,场内卖出,
2025-08-11,1.1787,1.1945,-0.0058,场内买入,场内卖出,
2025-08-08,1.1856,1.2014,0.0042,场内买入,场内卖出,
2025-08-07,1.1807,1.1965,0.0004,场内买入,场内卖出,
2025-08-06,1.1802,1.196,0.0025,场内买入,场内卖出,
2025-08-05,1.1772,1.193,0.0098,场内买入,场内卖出,
2025-08-04,1.1658,1.1816,0.004,场内买入,场内卖出,
2025-08-01,1.1611,1.1769,-0.0067,场内买入,场内卖出,
2025-07-31,1.1689,1.1847,-0.0157,场内买入,场内卖出,
2025-07-30,1.1876,1.2034,0.0043,场内买入,场内卖出,
2025-07-29,1.1825,1.1983,-0.0011,场内买入,场内卖出,
2025-07-28,1.1838,1.1996,-0.006,场内买入,场内卖出,
2025-07-25,1.1909,1.2067,-0.0065,场内买入,场内卖出,
2025-07-24,1.1987,1.2145,0.0027,场内买入,场内卖出,
2025-07-23,1.1955,1.2113,-0.0044,场内买入,场内卖出,
2025-07-22,1.2008,1.2166,0.0143,场内买入,场内卖出,
2025-07-21,1.1839,1.1997,0.0134,场内买入,场内卖出,
2025-07-18,1.1683,1.1841,0.0052,场内买入,场内卖出,
2025-07-17,1.1623,1.1781,0.0009,场内买入,场内卖出,
2025-07-16,1.1612,1.177,-0.0029,场内买入,场内卖出,
