date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-30,1.2213,1.2933,0.0,场内买入,场内卖出,
2025-12-29,1.2213,1.2933,-0.0017,场内买入,场内卖出,
2025-12-26,1.2234,1.2954,-0.0004,暂停申购,暂停赎回,每份派现金0.0060元
2025-12-25,1.2299,1.2959,-0.0011,暂停申购,暂停赎回,
2025-12-24,1.2312,1.2972,-0.0048,暂停申购,暂停赎回,
2025-12-23,1.2371,1.3031,0.0011,场内买入,场内卖出,
2025-12-22,1.2357,1.3017,0.0014,场内买入,场内卖出,
2025-12-19,1.234,1.3,-0.0044,场内买入,场内卖出,
2025-12-18,1.2394,1.3054,0.0036,场内买入,场内卖出,
2025-12-17,1.235,1.301,0.0040999999999999,场内买入,场内卖出,
2025-12-16,1.23,1.296,-0.0153,场内买入,场内卖出,
2025-12-15,1.2491,1.3151,-0.0062,场内买入,场内卖出,
2025-12-12,1.2569,1.3229,0.0052,场内买入,场内卖出,
2025-12-11,1.2504,1.3164,-0.0029,场内买入,场内卖出,
2025-12-10,1.254,1.32,-0.0107,场内买入,场内卖出,
2025-12-09,1.2675,1.3335,-0.0129,场内买入,场内卖出,
2025-12-08,1.2841,1.3501,-0.01,场内买入,场内卖出,
2025-12-05,1.2971,1.3631,0.0003,场内买入,场内卖出,
2025-12-04,1.2967,1.3627,0.0058,场内买入,场内卖出,
2025-12-03,1.2892,1.3552,-0.0070999999999999,场内买入,场内卖出,
2025-12-02,1.2984,1.3644,0.0088,场内买入,场内卖出,
2025-12-01,1.2871,1.3531,0.0069999999999999,场内买入,场内卖出,
2025-11-28,1.2782,1.3442,-0.0062,场内买入,场内卖出,
2025-11-27,1.2862,1.3522,0.0015,场内买入,场内卖出,
2025-11-26,1.2843,1.3503,0.0005,场内买入,场内卖出,
2025-11-25,1.2836,1.3496,0.0046999999999999,场内买入,场内卖出,每份派现金0.0060元
2025-11-24,1.2836,1.3436,0.0044,场内买入,场内卖出,
2025-11-21,1.278,1.338,-0.0239,场内买入,场内卖出,
2025-11-20,1.3093,1.3693,-0.0011,场内买入,场内卖出,
2025-11-19,1.3107,1.3707,0.0033,场内买入,场内卖出,
2025-11-18,1.3064,1.3664,-0.0210999999999999,场内买入,场内卖出,
2025-11-17,1.3346,1.3946,-0.0039,场内买入,场内卖出,
2025-11-14,1.3398,1.3998,-0.0109,场内买入,场内卖出,
2025-11-13,1.3545,1.4145,-0.0046,场内买入,场内卖出,
2025-11-12,1.3607,1.4207,0.012,场内买入,场内卖出,
2025-11-11,1.3445,1.4045,0.0001,场内买入,场内卖出,
2025-11-10,1.3443,1.4043,0.0124,场内买入,场内卖出,
2025-11-07,1.3279,1.3879,0.005,场内买入,场内卖出,
2025-11-06,1.3213,1.3813,0.0137,场内买入,场内卖出,
2025-11-05,1.3035,1.3635,0.0008,场内买入,场内卖出,
2025-11-04,1.3024,1.3624,-0.0009,场内买入,场内卖出,
2025-11-03,1.3036,1.3636,0.0220999999999999,场内买入,场内卖出,
2025-10-31,1.2754,1.3354,-0.0121999999999999,场内买入,场内卖出,
2025-10-30,1.2911,1.3511,0.004,场内买入,场内卖出,
2025-10-29,1.286,1.346,-0.0004,暂停申购,暂停赎回,
2025-10-28,1.2865,1.3465,-0.0029,场内买入,场内卖出,每份派现金0.0060元
2025-10-27,1.2963,1.3503,0.0077,场内买入,场内卖出,
2025-10-24,1.2864,1.3404,0.0013,场内买入,场内卖出,
2025-10-23,1.2847,1.3387,0.0093,场内买入,场内卖出,
2025-10-22,1.2729,1.3269,0.0017,场内买入,场内卖出,
2025-10-21,1.2708,1.3248,-0.0017,场内买入,场内卖出,
2025-10-20,1.273,1.327,0.0105,场内买入,场内卖出,
2025-10-17,1.2598,1.3138,-0.0129,场内买入,场内卖出,
2025-10-16,1.2763,1.3303,0.0177,场内买入,场内卖出,
2025-10-15,1.2541,1.3081,0.011,场内买入,场内卖出,
2025-10-14,1.2404,1.2944,0.0068,场内买入,场内卖出,
2025-10-13,1.232,1.286,-0.0037,场内买入,场内卖出,
