date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2026-01-08,1.3487,2.6974,0.002,场内买入,场内卖出,
2026-01-07,1.346,2.692,0.0093,场内买入,场内卖出,
2026-01-06,1.3336,2.6672,0.006,场内买入,场内卖出,
2026-01-05,1.3256,2.6512,0.0171,场内买入,场内卖出,
2025-12-31,1.3033,2.6066,-0.0029,场内买入,场内卖出,
2025-12-30,1.3071,2.6142,0.0013,场内买入,场内卖出,
2025-12-29,1.3054,2.6108,0.0042,场内买入,场内卖出,
2025-12-26,1.2999,2.5998,0.0011,场内买入,场内卖出,
2025-12-25,1.2985,2.597,0.0068,场内买入,场内卖出,
2025-12-24,1.2897,2.5794,0.0154,场内买入,场内卖出,
2025-12-23,1.2702,2.5404,-0.0084,场内买入,场内卖出,
2025-12-22,1.281,2.562,0.0383,场内买入,场内卖出,
2025-12-19,1.2337,2.4674,0.0060999999999999,场内买入,场内卖出,
2025-12-18,1.2262,2.4524,-0.0086,场内买入,场内卖出,
2025-12-17,1.2368,2.4736,0.0475,场内买入,场内卖出,
2025-12-16,1.1807,2.3614,-0.027,场内买入,场内卖出,
2025-12-15,1.2135,2.427,-0.017,场内买入,场内卖出,
2025-12-12,1.2345,2.469,0.0121999999999999,场内买入,场内卖出,
2025-12-11,1.2196,2.4392,-0.035,场内买入,场内卖出,
2025-12-10,1.2638,2.5276,0.0147,场内买入,场内卖出,
2025-12-09,1.2455,2.491,0.0269,场内买入,场内卖出,
2025-12-08,1.2129,2.4258,0.0552,场内买入,场内卖出,
2025-12-05,1.1495,2.299,0.015,场内买入,场内卖出,
2025-12-04,1.1325,2.265,0.0138,场内买入,场内卖出,
2025-12-03,1.1171,2.2342,-0.0102,场内买入,场内卖出,
2025-12-02,1.1286,2.2572,0.0034,场内买入,场内卖出,
2025-12-01,1.1248,2.2496,0.0308,场内买入,场内卖出,
2025-11-28,1.0912,2.1824,0.0044,场内买入,场内卖出,
2025-11-27,1.0864,2.1728,-0.0004,场内买入,场内卖出,
2025-11-26,1.0868,2.1736,0.0562,场内买入,场内卖出,
2025-11-25,1.029,2.058,0.0356999999999999,场内买入,场内卖出,
2025-11-24,0.9935,1.987,0.0024,场内买入,场内卖出,
2025-11-21,0.9911,1.9822,-0.0513,场内买入,场内卖出,
2025-11-20,1.0447,2.0894,0.0039,场内买入,场内卖出,
