date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-19,1.7793,1.7793,-0.0016,场内买入,场内卖出,
2025-12-18,1.7821,1.7821,0.0074,场内买入,场内卖出,
2025-12-17,1.769,1.769,-0.0038,场内买入,场内卖出,
2025-12-16,1.7757,1.7757,-0.0021,场内买入,场内卖出,
2025-12-15,1.7795,1.7795,0.0073,场内买入,场内卖出,
2025-12-12,1.7666,1.7666,0.0008,场内买入,场内卖出,
2025-12-11,1.7651,1.7651,0.0116,场内买入,场内卖出,
2025-12-10,1.7449,1.7449,-0.0051,场内买入,场内卖出,
2025-12-09,1.7539,1.7539,-0.0066,场内买入,场内卖出,
2025-12-08,1.7656,1.7656,-0.0008,场内买入,场内卖出,
2025-12-05,1.7671,1.7671,-0.0008,场内买入,场内卖出,
2025-12-04,1.7686,1.7686,0.0064,场内买入,场内卖出,
2025-12-03,1.7573,1.7573,0.0024,场内买入,场内卖出,
2025-12-02,1.7531,1.7531,-0.001,场内买入,场内卖出,
2025-12-01,1.7549,1.7549,-0.0034999999999999,场内买入,场内卖出,
2025-11-28,1.7611,1.7611,0.003,场内买入,场内卖出,
2025-11-27,1.7558,1.7558,0.0022,场内买入,场内卖出,
2025-11-26,1.7519,1.7519,0.0112,场内买入,场内卖出,
2025-11-25,1.7325,1.7325,0.0091,场内买入,场内卖出,
2025-11-24,1.7169,1.7169,-0.0046999999999999,场内买入,场内卖出,
2025-11-21,1.725,1.725,-0.0007,场内买入,场内卖出,
2025-11-20,1.7262,1.7262,0.0007,场内买入,场内卖出,
2025-11-19,1.725,1.725,-0.0021,场内买入,场内卖出,
2025-11-18,1.7287,1.7287,-0.0196,场内买入,场内卖出,
2025-11-17,1.7632,1.7632,-0.0075,场内买入,场内卖出,
2025-11-14,1.7766,1.7766,-0.0056999999999999,场内买入,场内卖出,
2025-11-13,1.7868,1.7868,-0.0001,场内买入,场内卖出,
2025-11-12,1.7869,1.7869,0.0124,场内买入,场内卖出,
2025-11-11,1.7651,1.7651,0.0128,场内买入,场内卖出,
2025-11-10,1.7428,1.7428,0.0136,场内买入,场内卖出,
2025-11-07,1.7195,1.7195,0.0013,场内买入,场内卖出,
2025-11-06,1.7173,1.7173,-0.0128,场内买入,场内卖出,
2025-11-05,1.7396,1.7396,-0.0012,场内买入,场内卖出,
2025-11-04,1.7417,1.7417,-0.006,场内买入,场内卖出,
2025-11-03,1.7523,1.7523,-0.0049,场内买入,场内卖出,
2025-10-31,1.761,1.761,-0.0067,场内买入,场内卖出,
2025-10-30,1.7728,1.7728,-0.008,场内买入,场内卖出,
2025-10-29,1.7871,1.7871,-0.0026,场内买入,场内卖出,
2025-10-28,1.7917,1.7917,-0.0022,场内买入,场内卖出,
2025-10-27,1.7956,1.7956,0.0023,场内买入,场内卖出,
2025-10-24,1.7914,1.7914,0.0006,场内买入,场内卖出,
2025-10-23,1.7903,1.7903,0.0021,场内买入,场内卖出,
2025-10-22,1.7865,1.7865,-0.0095,场内买入,场内卖出,
2025-10-21,1.8036,1.8036,0.0044,场内买入,场内卖出,
2025-10-20,1.7957,1.7957,0.0013,场内买入,场内卖出,
2025-10-17,1.7933,1.7933,0.0019,场内买入,场内卖出,
2025-10-16,1.7899,1.7899,0.0169,场内买入,场内卖出,
2025-10-15,1.7602,1.7602,0.0222,场内买入,场内卖出,
2025-10-14,1.7219,1.7219,-0.0046,场内买入,场内卖出,
2025-10-13,1.7299,1.7299,0.0043,场内买入,场内卖出,
