date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-25,1.266,1.266,0.0002,场内买入,场内卖出,
2025-12-24,1.2657,1.2657,0.0049,场内买入,场内卖出,
2025-12-23,1.2595,1.2595,0.004,场内买入,场内卖出,
2025-12-22,1.2545,1.2545,0.0098999999999999,场内买入,场内卖出,
2025-12-19,1.2422,1.2422,0.0052,场内买入,场内卖出,
2025-12-18,1.2358,1.2358,-0.0056999999999999,场内买入,场内卖出,
2025-12-17,1.2429,1.2429,0.0233,场内买入,场内卖出,
2025-12-16,1.2146,1.2146,-0.0106,场内买入,场内卖出,
2025-12-15,1.2276,1.2276,-0.0014,场内买入,场内卖出,
2025-12-12,1.2293,1.2293,0.0103,场内买入,场内卖出,
2025-12-11,1.2168,1.2168,-0.006,场内买入,场内卖出,
2025-12-10,1.2242,1.2242,0.0017,场内买入,场内卖出,
2025-12-09,1.2221,1.2221,-0.0055,场内买入,场内卖出,
2025-12-08,1.2288,1.2288,0.0058,场内买入,场内卖出,
2025-12-05,1.2217,1.2217,0.0107,场内买入,场内卖出,
2025-12-04,1.2088,1.2088,0.0043,场内买入,场内卖出,
2025-12-03,1.2036,1.2036,-0.0006,场内买入,场内卖出,
2025-12-02,1.2043,1.2043,-0.0053,场内买入,场内卖出,
2025-12-01,1.2107,1.2107,0.0107,场内买入,场内卖出,
2025-11-28,1.1979,1.1979,0.0067,场内买入,场内卖出,
2025-11-27,1.1899,1.1899,0.0005,场内买入,场内卖出,
2025-11-26,1.1893,1.1893,0.0053,场内买入,场内卖出,
2025-11-25,1.183,1.183,0.0118,场内买入,场内卖出,
2025-11-24,1.1692,1.1692,0.0008,场内买入,场内卖出,
2025-11-21,1.1683,1.1683,-0.0237999999999999,场内买入,场内卖出,
2025-11-20,1.1968,1.1968,-0.0036,场内买入,场内卖出,
2025-11-19,1.2011,1.2011,0.0066,场内买入,场内卖出,
2025-11-18,1.1932,1.1932,-0.0067,场内买入,场内卖出,
2025-11-17,1.2012,1.2012,-0.0104,场内买入,场内卖出,
2025-11-14,1.2138,1.2138,-0.0133,场内买入,场内卖出,
2025-11-13,1.2302,1.2302,0.0159,场内买入,场内卖出,
2025-11-12,1.211,1.211,0.001,场内买入,场内卖出,
2025-11-11,1.2098,1.2098,-0.008,场内买入,场内卖出,
2025-11-10,1.2195,1.2195,-0.0006,场内买入,场内卖出,
2025-11-07,1.2202,1.2202,-0.0011,场内买入,场内卖出,
2025-11-06,1.2216,1.2216,0.0194,场内买入,场内卖出,
2025-11-05,1.1984,1.1984,0.0023,场内买入,场内卖出,
2025-11-04,1.1956,1.1956,-0.0125,场内买入,场内卖出,
2025-11-03,1.2107,1.2107,-0.0040999999999999,场内买入,场内卖出,
2025-10-31,1.2157,1.2157,-0.0115,场内买入,场内卖出,
2025-10-30,1.2298,1.2298,-0.0073,场内买入,场内卖出,
2025-10-29,1.2389,1.2389,0.0155,场内买入,场内卖出,
2025-10-28,1.22,1.22,-0.0064,场内买入,场内卖出,
2025-10-27,1.2278,1.2278,0.0115,场内买入,场内卖出,
2025-10-24,1.2139,1.2139,0.0123,场内买入,场内卖出,
2025-10-23,1.1992,1.1992,0.0069,场内买入,场内卖出,
2025-10-22,1.191,1.191,-0.0034999999999999,场内买入,场内卖出,
2025-10-21,1.1952,1.1952,0.0158,场内买入,场内卖出,
2025-10-20,1.1766,1.1766,0.0081,场内买入,场内卖出,
2025-10-17,1.1671,1.1671,-0.0271,场内买入,场内卖出,
2025-10-16,1.1996,1.1996,-0.002,场内买入,场内卖出,
2025-10-15,1.202,1.202,0.0157,场内买入,场内卖出,
2025-10-14,1.1834,1.1834,-0.0147,场内买入,场内卖出,
2025-10-13,1.201,1.201,-0.0089,场内买入,场内卖出,
2025-10-10,1.2118,1.2118,-0.0192999999999999,场内买入,场内卖出,
