date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2026-01-06,2.0128,2.0128,0.039,场内买入,场内卖出,
2026-01-05,1.9373,1.9373,0.0579999999999999,场内买入,场内卖出,
2025-12-31,1.8311,1.8311,-0.0034999999999999,场内买入,场内卖出,
2025-12-30,1.8375,1.8375,0.0011,场内买入,场内卖出,
2025-12-29,1.8354,1.8354,-0.0113,场内买入,场内卖出,
2025-12-26,1.8564,1.8564,-0.0143,场内买入,场内卖出,
2025-12-25,1.8833,1.8833,0.0011,场内买入,场内卖出,
2025-12-24,1.8813,1.8813,0.0043,场内买入,场内卖出,
2025-12-23,1.8732,1.8732,0.0163999999999999,场内买入,场内卖出,
2025-12-22,1.843,1.843,0.0474,场内买入,场内卖出,
2025-12-19,1.7596,1.7596,-0.006,场内买入,场内卖出,
2025-12-18,1.7702,1.7702,-0.0165,场内买入,场内卖出,
2025-12-17,1.7999,1.7999,0.0143,场内买入,场内卖出,
2025-12-16,1.7746,1.7746,-0.0098,场内买入,场内卖出,
2025-12-15,1.7921,1.7921,-0.0107,场内买入,场内卖出,
2025-12-12,1.8114,1.8114,0.0366999999999999,场内买入,场内卖出,
2025-12-11,1.7473,1.7473,-0.0037,场内买入,场内卖出,
2025-12-10,1.7538,1.7538,0.0070999999999999,场内买入,场内卖出,
2025-12-09,1.7414,1.7414,-0.0051,场内买入,场内卖出,
2025-12-08,1.7504,1.7504,0.0171,场内买入,场内卖出,
2025-12-05,1.721,1.721,0.003,场内买入,场内卖出,
2025-12-04,1.7159,1.7159,0.0247,场内买入,场内卖出,
2025-12-03,1.6745,1.6745,-0.0012,场内买入,场内卖出,
2025-12-02,1.6765,1.6765,-0.0116,场内买入,场内卖出,
2025-12-01,1.6961,1.6961,0.0153,场内买入,场内卖出,
2025-11-28,1.6705,1.6705,0.0222,场内买入,场内卖出,
2025-11-27,1.6343,1.6343,-0.0069,场内买入,场内卖出,
2025-11-26,1.6457,1.6457,0.0002,场内买入,场内卖出,
2025-11-25,1.6453,1.6453,0.0027,场内买入,场内卖出,
2025-11-24,1.6408,1.6408,0.0218,场内买入,场内卖出,
2025-11-21,1.6058,1.6058,-0.0419,场内买入,场内卖出,
2025-11-20,1.676,1.676,-0.0245,场内买入,场内卖出,
2025-11-19,1.7181,1.7181,-0.0046999999999999,场内买入,场内卖出,
2025-11-18,1.7262,1.7262,0.0197,场内买入,场内卖出,
2025-11-17,1.6928,1.6928,-0.0097,场内买入,场内卖出,
2025-11-14,1.7093,1.7093,-0.0264,场内买入,场内卖出,
2025-11-13,1.7557,1.7557,0.0042,场内买入,场内卖出,
2025-11-12,1.7483,1.7483,-0.0118,场内买入,场内卖出,
2025-11-11,1.7692,1.7692,-0.0124,场内买入,场内卖出,
2025-11-10,1.7914,1.7914,0.0152,场内买入,场内卖出,
2025-11-07,1.7646,1.7646,0.0039,场内买入,场内卖出,
2025-11-06,1.7577,1.7577,0.0327,场内买入,场内卖出,
2025-11-05,1.7021,1.7021,-0.0069,场内买入,场内卖出,
2025-11-04,1.714,1.714,0.0085,场内买入,场内卖出,
2025-11-03,1.6995,1.6995,-0.0113,场内买入,场内卖出,
2025-10-31,1.719,1.719,-0.0423,场内买入,场内卖出,
2025-10-30,1.7949,1.7949,-0.0158,场内买入,场内卖出,
2025-10-29,1.8238,1.8238,0.0031,场内买入,场内卖出,
2025-10-28,1.8181,1.8181,-0.0012,场内买入,场内卖出,
2025-10-27,1.8202,1.8202,0.0385,场内买入,场内卖出,
2025-10-24,1.7527,1.7527,0.0448,场内买入,场内卖出,
2025-10-23,1.6775,1.6775,-0.0055,场内买入,场内卖出,
2025-10-22,1.6867,1.6867,-0.0083,场内买入,场内卖出,
2025-10-21,1.7009,1.7009,0.0199,场内买入,场内卖出,
2025-10-20,1.6677,1.6677,-0.0006,场内买入,场内卖出,
2025-10-17,1.6687,1.6687,-0.0406,场内买入,场内卖出,
2025-10-16,1.7394,1.7394,-0.0111,场内买入,场内卖出,
2025-10-15,1.7589,1.7589,-0.002,场内买入,场内卖出,
2025-10-14,1.7625,1.7625,-0.0655,场内买入,场内卖出,
2025-10-13,1.8861,1.8861,0.0331,场内买入,场内卖出,
2025-10-10,1.8256,1.8256,-0.0347,场内买入,场内卖出,
2025-10-09,1.8913,1.8913,0.0247,场内买入,场内卖出,
2025-09-30,1.8458,1.8458,-0.0028,场内买入,场内卖出,
2025-09-29,1.8509,1.8509,0.0269,场内买入,场内卖出,
2025-09-26,1.8024,1.8024,-0.0032,场内买入,场内卖出,
2025-09-25,1.8082,1.8082,-0.0028,场内买入,场内卖出,
2025-09-24,1.8132,1.8132,0.087,场内买入,场内卖出,
2025-09-23,1.6681,1.6681,0.0493,场内买入,场内卖出,
2025-09-22,1.5898,1.5898,0.0181,场内买入,场内卖出,
2025-09-19,1.5615,1.5615,-0.004,场内买入,场内卖出,
2025-09-18,1.5677,1.5677,0.0361,场内买入,场内卖出,
2025-09-17,1.5131,1.5131,0.0359,场内买入,场内卖出,
2025-09-16,1.4607,1.4607,0.0008,场内买入,场内卖出,
2025-09-15,1.4596,1.4596,0.0005,场内买入,场内卖出,
2025-09-12,1.4588,1.4588,0.0049,场内买入,场内卖出,
2025-09-11,1.4517,1.4517,0.0364,场内买入,场内卖出,
2025-09-10,1.4007,1.4007,0.0009,场内买入,场内卖出,
2025-09-09,1.3994,1.3994,-0.0289999999999999,场内买入,场内卖出,
2025-09-08,1.4412,1.4412,0.0227999999999999,场内买入,场内卖出,
2025-09-05,1.4091,1.4091,0.0316,场内买入,场内卖出,
2025-09-04,1.366,1.366,-0.0637,场内买入,场内卖出,
2025-09-03,1.4589,1.4589,-0.0027,场内买入,场内卖出,
2025-09-02,1.4628,1.4628,-0.0352,场内买入,场内卖出,
2025-09-01,1.5161,1.5161,0.0285,场内买入,场内卖出,
2025-08-29,1.4741,1.4741,-0.0322,场内买入,场内卖出,
2025-08-28,1.5231,1.5231,0.0516,场内买入,场内卖出,
2025-08-27,1.4483,1.4483,-0.0102,场内买入,场内卖出,
2025-08-26,1.4632,1.4632,0.0046999999999999,场内买入,场内卖出,
2025-08-25,1.4563,1.4563,-0.0077,场内买入,场内卖出,
2025-08-22,1.4676,1.4676,0.0581,场内买入,场内卖出,
2025-08-21,1.387,1.387,-0.0009,场内买入,场内卖出,
2025-08-20,1.3883,1.3883,0.0329,场内买入,场内卖出,
2025-08-19,1.3441,1.3441,-0.0168,场内买入,场内卖出,
2025-08-18,1.367,1.367,0.0243,场内买入,场内卖出,
2025-08-15,1.3346,1.3346,0.02,场内买入,场内卖出,
2025-08-14,1.3084,1.3084,-0.0084,场内买入,场内卖出,
2025-08-13,1.3195,1.3195,0.0134,场内买入,场内卖出,
2025-08-12,1.3021,1.3021,0.0118,场内买入,场内卖出,
2025-08-11,1.2869,1.2869,0.0021,场内买入,场内卖出,
2025-08-08,1.2842,1.2842,-0.0139999999999999,场内买入,场内卖出,
2025-08-07,1.3025,1.3025,0.0028,场内买入,场内卖出,
2025-08-06,1.2988,1.2988,0.0085,场内买入,场内卖出,
2025-08-05,1.2879,1.2879,0.0034,场内买入,场内卖出,
2025-08-04,1.2835,1.2835,0.0079,场内买入,场内卖出,
2025-08-01,1.2734,1.2734,-0.011,场内买入,场内卖出,
2025-07-31,1.2875,1.2875,-0.0237,场内买入,场内卖出,
2025-07-30,1.3188,1.3188,-0.0069,场内买入,场内卖出,
2025-07-29,1.328,1.328,0.0124,场内买入,场内卖出,
2025-07-28,1.3117,1.3117,-0.0024,场内买入,场内卖出,
2025-07-25,1.3149,1.3149,0.0098,场内买入,场内卖出,
2025-07-24,1.3022,1.3022,0.0162,场内买入,场内卖出,
2025-07-23,1.2814,1.2814,0.024,场内买入,场内卖出,
2025-07-22,1.2514,1.2514,0.0068,场内买入,场内卖出,
2025-07-21,1.2429,1.2429,-0.0026,场内买入,场内卖出,
2025-07-18,1.2462,1.2462,0.0116999999999999,场内买入,场内卖出,
2025-07-17,1.2318,1.2318,0.0031,场内买入,场内卖出,
2025-07-16,1.228,1.228,-0.0015,场内买入,场内卖出,
2025-07-15,1.2299,1.2299,-0.0034999999999999,场内买入,场内卖出,
2025-07-14,1.2342,1.2342,-0.0113999999999999,场内买入,场内卖出,
2025-07-11,1.2484,1.2484,0.008,场内买入,场内卖出,
2025-07-10,1.2385,1.2385,-0.0031,场内买入,场内卖出,
2025-07-09,1.2423,1.2423,-0.0097,场内买入,场内卖出,
2025-07-08,1.2545,1.2545,0.0115,场内买入,场内卖出,
2025-07-07,1.2402,1.2402,0.001,场内买入,场内卖出,
2025-07-04,1.239,1.239,0.0058,场内买入,场内卖出,
2025-07-03,1.2319,1.2319,-0.0007,场内买入,场内卖出,
2025-07-02,1.2328,1.2328,-0.0203,场内买入,场内卖出,
2025-07-01,1.2583,1.2583,0.0069999999999999,场内买入,场内卖出,
2025-06-30,1.2495,1.2495,0.0183,场内买入,场内卖出,
2025-06-27,1.2271,1.2271,0.0026,场内买入,场内卖出,
2025-06-26,1.2239,1.2239,-0.01,场内买入,场内卖出,
2025-06-25,1.2363,1.2363,0.0081999999999999,场内买入,场内卖出,
2025-06-24,1.2263,1.2263,0.0086,场内买入,场内卖出,
2025-06-23,1.2159,1.2159,0.0233,场内买入,场内卖出,
2025-06-20,1.1882,1.1882,0.0065,场内买入,场内卖出,
2025-06-19,1.1805,1.1805,0.0045,场内买入,场内卖出,
2025-06-18,1.1752,1.1752,0.0093999999999999,场内买入,场内卖出,
2025-06-17,1.1643,1.1643,-0.0038,场内买入,场内卖出,
2025-06-16,1.1687,1.1687,-0.0001,场内买入,场内卖出,
2025-06-13,1.1688,1.1688,0.0069999999999999,场内买入,场内卖出,
2025-06-12,1.1607,1.1607,-0.0153,场内买入,场内卖出,
2025-06-11,1.1787,1.1787,0.0031,场内买入,场内卖出,
2025-06-10,1.1751,1.1751,-0.0255,场内买入,场内卖出,
2025-06-09,1.2058,1.2058,0.0024,场内买入,场内卖出,
2025-06-06,1.2029,1.2029,0.0009,场内买入,场内卖出,
2025-06-05,1.2018,1.2018,0.0096,场内买入,场内卖出,
2025-06-04,1.1904,1.1904,-0.0023,场内买入,场内卖出,
2025-06-03,1.1931,1.1931,0.0158,场内买入,场内卖出,
2025-05-30,1.1745,1.1745,-0.0168,场内买入,场内卖出,
2025-05-29,1.1946,1.1946,0.0237,场内买入,场内卖出,
2025-05-28,1.167,1.167,-0.0156,场内买入,场内卖出,
2025-05-27,1.1855,1.1855,-0.0048,场内买入,场内卖出,
2025-05-26,1.1912,1.1912,0.0106,场内买入,场内卖出,
2025-05-23,1.1787,1.1787,-0.0093,场内买入,场内卖出,
2025-05-22,1.1898,1.1898,-0.0083,场内买入,场内卖出,
2025-05-21,1.1998,1.1998,-0.0054,场内买入,场内卖出,
2025-05-20,1.2063,1.2063,0.0014,场内买入,场内卖出,
2025-05-19,1.2046,1.2046,0.0068,场内买入,场内卖出,
2025-05-16,1.1965,1.1965,-0.0023,场内买入,场内卖出,
2025-05-15,1.1992,1.1992,-0.0197,场内买入,场内卖出,
2025-05-14,1.2233,1.2233,0.0066,场内买入,场内卖出,
2025-05-13,1.2153,1.2153,-0.006,场内买入,场内卖出,
2025-05-12,1.2226,1.2226,0.0037,场内买入,场内卖出,
